1354.2029,482.12393:842.9906,472.0462|
1363.3611,495.4986:842.5045,476.2893|
1363.3611,495.4986:842.5045,476.2893|
1363.3611,495.4986:842.5045,476.2893|
1370.798,508.45538:841.3961,481.09448|
1378.5037,522.7325:840.67883,484.11597|
1378.5037,522.7325:840.67883,484.11597|
1378.5037,522.7325:840.67883,484.11597|
1384.8602,536.2515:839.57056,489.14093|
1388.2242,553.1691:838.67084,492.83118|
1388.2242,553.1691:838.67084,492.83118|
1385.0807,570.7373:838.32336,496.41098|
1385.0807,570.7373:838.32336,496.41098|
1383.9318,585.1821:836.4046,502.1757|
1383.9318,585.1821:836.4046,502.1757|
1383.9318,585.1821:836.4046,502.1757|
1383.53,598.60406:835.25793,505.63986|
1383.53,598.60406:835.25793,505.63986|
1382.2152,613.7768:832.72675,512.41425|
1381.8198,630.3214:823.22076,528.7512|
1381.8198,630.3214:823.22076,528.7512|
1382.152,648.7457:816.48975,538.0457|
1382.152,648.7457:816.48975,538.0457|
1382.8107,669.95966:804.7465,552.11926|
1382.8107,669.95966:804.7465,552.11926|
1382.8107,669.95966:804.7465,552.11926|
1387.0651,692.12427:803.0568,559.21405|
1387.0651,692.12427:803.0568,559.21405|
1386.4296,715.7272:931.2441,634.86633|
1386.249,738.982:930.12537,640.7925|
1386.249,738.982:930.12537,640.7925|
1383.5863,761.5842:933.1885,653.8567|
1383.5863,761.5842:933.1885,653.8567|
1383.5863,761.5842:933.1885,653.8567|
1384.5498,780.0926:935.0189,662.2363|
1390.8312,795.61694:940.0578,669.83887|
1390.8312,795.61694:940.0578,669.83887|
1389.4457,807.42676:945.9791,674.4106|
1389.4457,807.42676:945.9791,674.4106|
1383.099,813.4031:954.1293,677.59076|
1383.099,813.4031:954.1293,677.59076|
1383.099,813.4031:954.1293,677.59076|
1373.4503,812.23816:960.26337,678.5822|
1359.0988,803.1536:832.34546,844.516|
1359.0988,803.1536:832.34546,844.516|
1336.7075,787.43604:846.69086,806.53015|
1336.7075,787.43604:846.69086,806.53015|
1336.7075,787.43604:846.69086,806.53015|
1314.0459,768.2217:866.7806,768.19507|
1287.7052,745.5332:896.25,734.29956|
1287.7052,745.5332:896.25,734.29956|
1264.8458,717.32904:917.2255,663.84973|
1264.8458,717.32904:917.2255,663.84973|
1264.8458,717.32904:917.2255,663.84973|
1240.1045,690.9574:941.78265,653.87683|
1218.4803,659.29724:957.66797,613.75745|
1218.4803,659.29724:957.66797,613.75745|
1200.568,629.1462:969.0149,581.7704|
1200.568,629.1462:969.0149,581.7704|
1184.151,598.45294:977.057,567.34143|
1184.151,598.45294:977.057,567.34143|
1170.9066,570.53204:984.6583,545.24554|
1170.9066,570.53204:984.6583,545.24554|
1170.9066,570.53204:984.6583,545.24554|
1159.3754,545.5968:989.95844,527.07825|
1159.3754,545.5968:989.95844,527.07825|
1150.0667,526.55676:992.69324,526.28314|
1142.7476,514.03516:999.8601,488.47626|
1142.7476,514.03516:999.8601,488.47626|
1137.3326,502.734:1003.8296,483.8349|
1137.3326,502.734:1003.8296,483.8349|
1135.9829,492.5879:1007.87286,478.63153|
1135.9829,492.5879:1007.87286,478.63153|
1133.7656,474.93622:1008.6402,471.9679|
1133.7656,474.93622:1008.6402,471.9679|
1133.7656,474.93622:1008.6402,471.9679|
1133.1681,487.37827:1008.67676,471.68863|
1138.184,470.79272:1006.6654,476.2021|
1138.184,470.79272:1006.6654,476.2021|
1139.7041,488.67783:1004.11816,467.25415|
1139.7041,488.67783:1004.11816,467.25415|
1143.1356,495.10187:999.94586,493.16513|
1143.1356,495.10187:999.94586,493.16513|
1147.4553,500.38223:994.51025,498.84247|
1147.4553,500.38223:994.51025,498.84247|
1150.8641,506.40973:990.26465,499.4192|
1150.8641,506.40973:990.26465,499.4192|
1154.7773,508.69208:1006.7014,470.01044|
1154.7773,508.69208:1006.7014,470.01044|
1160.0049,483.4882:1045.3486,425.99213|
1160.0049,483.4882:1045.3486,425.99213|
1161.9698,516.02954:1044.9142,424.78607|
1161.9698,516.02954:1044.9142,424.78607|
1161.9698,516.02954:1044.9142,424.78607|
1164.5698,516.8371:1045.9292,422.46466|
1169.4175,486.81708:1046.527,421.70044|
1169.4175,486.81708:1046.527,421.70044|
1170.5609,489.72162:999.5866,474.5451|
1170.5609,489.72162:999.5866,474.5451|
1170.0864,491.16565:1047.5515,426.61615|
1170.0864,491.16565:1047.5515,426.61615|
1170.078,491.51434:1049.9006,424.77618|
1170.078,491.51434:1049.9006,424.77618|
1170.078,491.51434:1049.9006,424.77618|
1169.781,491.45926:1051.3536,427.3543|
1171.2772,489.20792:1044.004,428.38422|
1171.2772,489.20792:1044.004,428.38422|
1171.3342,491.1654:1042.4174,429.21063|
1171.3342,491.1654:1042.4174,429.21063|
1172.2019,491.48367:1045.9689,427.92712|
1172.2019,491.48367:1045.9689,427.92712|
1172.2019,491.48367:1045.9689,427.92712|
1173.3268,492.07388:1043.2109,427.51678|
1173.3268,492.07388:1043.2109,427.51678|
1173.4233,492.86758:1043.727,428.50378|
1174.0479,493.7448:1043.3416,429.73853|
1174.0479,493.7448:1043.3416,429.73853|
1175.3456,494.203:1042.9117,429.77106|
1175.3456,494.203:1042.9117,429.77106|
1173.7499,517.5324:1053.5879,427.93497|
1173.7499,517.5324:1053.5879,427.93497|
1173.7499,517.5324:1053.5879,427.93497|
1176.4982,492.26337:1056.3358,427.08905|
1176.4982,492.26337:1056.3358,427.08905|
1176.2853,492.19214:1056.7864,427.26392|
1176.2853,492.19214:1056.7864,427.26392|
1176.6306,492.3674:1058.2864,429.005|
1176.7777,494.1863:1058.326,428.48203|
